"","Row.names","Shannon","Simpson","Invsimpson","Richness","Site","Date","Type","Rep","Source","Group","Site_Type"
"1","ARIK.20190715.EPIPSAMMON.1",7.16129901109044,0.998422006267275,633.716078373364,3094,"ARIK",20190715,"EPIPSAMMON",1,"benthic","6","ARIK_EPIPSAMMON"
"2","ARIK.20190715.EPIPSAMMON.2",7.19239610666538,0.998619177053381,724.205809621275,3114,"ARIK",20190715,"EPIPSAMMON",2,"benthic","6","ARIK_EPIPSAMMON"
"3","ARIK.20190715.EPIPSAMMON.3",7.21340496291922,0.998655713052555,743.888796882675,3146,"ARIK",20190715,"EPIPSAMMON",3,"benthic","6","ARIK_EPIPSAMMON"
"4","BIGC.20190709.EPILITHON.1",7.5577917805891,0.998626563982624,728.100899749554,4612,"BIGC",20190709,"EPILITHON",1,"benthic","3","BIGC_EPILITHON"
"5","BIGC.20190709.EPILITHON.2",7.63434210805753,0.999092033119837,1101.36175872497,4614,"BIGC",20190709,"EPILITHON",2,"benthic","3","BIGC_EPILITHON"
"6","BIGC.20190709.EPILITHON.3",7.40588965541063,0.998995222666259,995.245380662593,3940,"BIGC",20190709,"EPILITHON",3,"benthic","3","BIGC_EPILITHON"
"7","BIGC.20190709.EPIPSAMMON.1",6.87481881712537,0.998315811884301,593.757900722893,1583,"BIGC",20190709,"EPIPSAMMON",1,"benthic","3","BIGC_EPIPSAMMON"
"8","BIGC.20190709.EPIPSAMMON.3",6.87170844025514,0.998211593827098,559.157094821215,1593,"BIGC",20190709,"EPIPSAMMON",3,"benthic","3","BIGC_EPIPSAMMON"
"9","BLDE.20190805.EPILITHON.1",7.55762943029756,0.999033215072311,1034.35621652782,4828,"BLDE",20190805,"EPILITHON",1,"benthic","3","BLDE_EPILITHON"
"10","BLDE.20190805.EPILITHON.2",7.5821144984188,0.998961312911062,962.753855949719,5017,"BLDE",20190805,"EPILITHON",2,"benthic","3","BLDE_EPILITHON"
"11","BLDE.20190805.EPILITHON.3",7.54344747292961,0.998980956840662,981.312705782941,4962,"BLDE",20190805,"EPILITHON",3,"benthic","3","BLDE_EPILITHON"
"12","BLDE.20190805.EPILITHON.4",7.5569968356727,0.998973415564941,974.103995588403,4985,"BLDE",20190805,"EPILITHON",4,"benthic","3","BLDE_EPILITHON"
"13","BLDE.20190805.EPILITHON.5",7.53128243314421,0.99907603425358,1082.29120384043,4765,"BLDE",20190805,"EPILITHON",5,"benthic","3","BLDE_EPILITHON"
"14","BLDE.20190805.EPILITHON.6",7.53152464207395,0.99904984696663,1052.46204019679,4540,"BLDE",20190805,"EPILITHON",6,"benthic","3","BLDE_EPILITHON"
"15","BLDE.20190805.EPILITHON.7",7.51623059932866,0.998977343481694,977.845427178925,4790,"BLDE",20190805,"EPILITHON",7,"benthic","3","BLDE_EPILITHON"
"16","BLDE.20190805.EPILITHON.8",7.57610496024345,0.99911251470148,1126.77922853153,4836,"BLDE",20190805,"EPILITHON",8,"benthic","3","BLDE_EPILITHON"
"17","BLDE.SS.20190702",5.28629395830461,0.993288639742536,149.001090932031,234,"BLDE",20190702,"SS",1,"surface","3","BLDE_SS"
"18","BLUE.20190711.EPILITHON.1",7.47478314246674,0.998861662754963,878.474287264209,4428,"BLUE",20190711,"EPILITHON",1,"benthic","5","BLUE_EPILITHON"
"19","BLUE.20190711.EPILITHON.2",7.56002679266307,0.999037197564285,1038.63468028876,4436,"BLUE",20190711,"EPILITHON",2,"benthic","5","BLUE_EPILITHON"
"20","BLUE.20190711.EPILITHON.3",7.4862769081034,0.998827232762812,852.6841203358,4376,"BLUE",20190711,"EPILITHON",3,"benthic","5","BLUE_EPILITHON"
"21","BLUE.20190711.EPILITHON.4",7.46365142955597,0.99871474185799,778.05381449386,4365,"BLUE",20190711,"EPILITHON",4,"benthic","5","BLUE_EPILITHON"
"22","BLUE.20190711.EPILITHON.5",7.34300763588093,0.998646180677104,738.651002454893,4368,"BLUE",20190711,"EPILITHON",5,"benthic","5","BLUE_EPILITHON"
