"accession","function","ARIK.20190715.EPIPSAMMON.1","ARIK.20190715.EPIPSAMMON.2","ARIK.20190715.EPIPSAMMON.3","BIGC.20190709.EPILITHON.1","BIGC.20190709.EPILITHON.2","BIGC.20190709.EPILITHON.3","BIGC.20190709.EPIPSAMMON.1","BIGC.20190709.EPIPSAMMON.3","BLDE.20190805.EPILITHON.1","BLDE.20190805.EPILITHON.2","BLDE.20190805.EPILITHON.3","BLDE.20190805.EPILITHON.4","BLDE.20190805.EPILITHON.5","BLDE.20190805.EPILITHON.6","BLDE.20190805.EPILITHON.7","BLDE.20190805.EPILITHON.8","BLDE.SS.20190702","BLUE.20190711.EPILITHON.1","BLUE.20190711.EPILITHON.2","BLUE.20190711.EPILITHON.3","BLUE.20190711.EPILITHON.4","BLUE.20190711.EPILITHON.5","BLUE.20190711.EPILITHON.6","BLUE.20190711.EPILITHON.7","BLUE.20190711.EPILITHON.8","BLUE.SS.20190716","BLWA.C0.20190716","CARI.20190703.EPILITHON.7","CARI.20190703.EPILITHON.8","CARI.SS.20190710","COMO.20190806.EPILITHON.1","COMO.20190806.EPILITHON.2","COMO.20190806.EPILITHON.3","COMO.20190806.EPILITHON.4","COMO.20190806.EPILITHON.5","COMO.20190806.EPIPSAMMON.1","COMO.20190806.EPIPSAMMON.2","COMO.20190806.EPIPSAMMON.3","COMO.SS.20190716","CUPE.20190625.EPILITHON.1","CUPE.20190625.EPILITHON.2","CUPE.20190625.EPILITHON.3","CUPE.20190625.EPILITHON.4","CUPE.20190625.EPILITHON.5","CUPE.20190625.EPILITHON.6","CUPE.20190625.EPILITHON.7","CUPE.20190625.EPILITHON.8","CUPE.SS.20190709","GUIL.20190701.EPILITHON.1","GUIL.20190701.EPILITHON.2","GUIL.20190701.EPILITHON.3","GUIL.20190701.EPILITHON.4","GUIL.20190701.EPILITHON.5","GUIL.20190701.EPILITHON.6","GUIL.20190701.EPILITHON.7","GUIL.20190701.EPILITHON.8","GUIL.SS.20190716","HOPB.20190715.EPILITHON.1","HOPB.20190715.EPILITHON.2","HOPB.20190715.EPILITHON.3","HOPB.20190715.EPILITHON.4","HOPB.20190715.EPILITHON.5","HOPB.20190715.EPIPSAMMON.2","HOPB.SS.20190717","KING.20190723.EPILITHON.1","KING.20190723.EPILITHON.2","KING.20190723.EPILITHON.3","KING.20190723.EPILITHON.4","KING.20190723.EPILITHON.5","KING.20190723.EPILITHON.6","KING.20190723.EPILITHON.7","KING.20190723.EPILITHON.8","KING.SS.20190708","LECO.SS.20190812","MAYF.20190805.EPIXYLON.1","MAYF.20190805.EPIXYLON.2","MAYF.20190805.EPIXYLON.3","MAYF.20190805.EPIXYLON.4","MAYF.20190805.EPIXYLON.5","MCDI.20190724.EPILITHON.1","MCDI.20190724.EPILITHON.2","MCDI.20190724.EPILITHON.3","MCDI.20190724.EPILITHON.4","MCDI.20190724.EPILITHON.5","MCDI.20190724.EPILITHON.6","OKSR.20190711.EPILITHON.1","OKSR.SS.20190820","REDB.20190715.EPILITHON.1","REDB.20190715.EPILITHON.2","REDB.20190715.EPILITHON.3","REDB.20190715.EPIPSAMMON.1","REDB.20190715.EPIPSAMMON.2","REDB.20190715.EPIPSAMMON.3","REDB.20190715.EPIPSAMMON.4","REDB.20190715.EPIPSAMMON.5","REDB.SS.20190709","SYCA.20190617.EPILITHON.1","SYCA.20190617.EPILITHON.2","SYCA.20190617.EPILITHON.3","SYCA.20190617.EPILITHON.4","SYCA.20190617.EPILITHON.5","SYCA.20190617.EPIPSAMMON.1","SYCA.20190617.EPIPSAMMON.2","SYCA.20190617.EPIPSAMMON.3","SYCA.SS.20190716","TECR.SS.20190717","TOMB.C0.20190709","WLOU.20190724.EPILITHON.1","WLOU.20190724.EPILITHON.2","WLOU.20190724.EPILITHON.3","WLOU.20190724.EPILITHON.4","WLOU.20190724.EPILITHON.5","WLOU.20190724.EPIPSAMMON.1","WLOU.20190724.EPIPSAMMON.2","WLOU.SS.20190709"
"A","RNA processing and modification",193.934365900459,175.794864395835,187.997166346823,118.089125004455,226.324436533415,93.1644556185127,124.302010737426,100.618226881657,127.74782649712,128.716902742283,135.507671905104,124.209960759119,236.177195292925,149.053909649317,43.6410777043983,91.3930325216586,NA,198.11301527461,212.8728494135,182.555705581817,166.789702369663,83.4639565615368,127.540062821813,199.668340947052,211.467471051942,134.281162676235,139.420573423033,268.728142998626,184.602904658909,NA,189.075903092944,115.437162297584,81.1655248223764,104.522498898817,91.63473096813,143.74417343919,133.275315092986,119.097708649553,NA,226.411738163963,269.38504940302,265.770650267194,279.912419125831,205.769853792379,185.809945432094,220.78911825346,193.752330628363,NA,77.0284310792257,96.9188547293484,105.536625278819,77.7790207552854,139.614806444678,66.4532685154852,108.273344559272,112.476357849717,NA,135.437587842201,80.0758160620231,99.3593752187257,94.6940480827115,84.8583487990492,112.843497739243,306.014380402629,186.230677220211,206.318816004275,93.4982112067156,82.6850594819388,93.7827764461526,98.2208616292407,100.048790443308,93.5398870350745,423.89649216327,114.391880847128,169.463057757489,205.881728501429,101.422500232782,142.737469719993,202.717604825709,104.886890924191,166.288406304849,160.603810751997,156.635640621143,124.965320850403,289.363721412775,530.164645281415,NA,49.3575302821586,77.6517623079038,75.7728480524211,148.63811919354,193.865057831471,199.850705238316,176.263726031627,250.363213749488,158.727604577857,34.0733700669979,16.707743694317,30.4652586462184,42.7402275628336,34.4500698545655,260.01656837928,278.792891886615,297.929013262263,NA,NA,32.6600399321573,90.1159829744682,129.398023334461,131.011368435296,75.275845320386,109.358556645577,49.6737353216613,56.3469911438153,NA
"B","Chromatin structure and dynamics",120.039407989013,144.800977434036,137.02064904811,72.8160989510154,126.041263836895,51.6795731248317,266.945642610962,269.457840274619,85.7797611401011,48.4881918956706,38.7977893584324,52.6848308689206,143.316417245472,129.0036589104,25.3364812040822,53.5883462640555,NA,77.3792966358055,87.3181252389538,68.3800432224538,73.8705723324404,38.9685641478014,48.4455013404672,62.2045427356532,96.9922386995592,28.8609121329588,298.057165954559,191.642047109755,114.832278016192,520.905636120847,112.975673244114,145.56875535244,59.655914518228,62.15524128451,72.3567048898779,137.823192588759,119.475902422431,97.8497782963573,NA,56.2812077495088,101.491709885187,147.207213230336,72.5420245042777,122.976657646932,65.1644669322119,85.6979179529317,55.8859415396532,NA,29.6137637330722,66.6683185674271,34.6445827947051,61.3834245882485,57.1472831770065,76.2544438071576,71.1916461026311,87.1089544962194,NA,43.9178396453763,60.3573596868373,76.6249468108896,64.4857712194635,59.6766333494121,115.868437484678,NA,74.6250335811285,58.7621854842676,73.5389622257974,69.7912930195875,79.9992039618515,74.7907254257408,73.3203465478884,88.8969914744959,NA,110.465464026836,51.4466363519943,55.4736721851803,46.1659657574875,55.9910204804109,30.0147199988373,98.6455918818535,113.29115649362,128.034723255351,116.35382197436,60.685454952393,87.1278411071809,NA,NA,24.4514419938094,23.9661407919919,27.2594272432626,92.9415973923933,128.432433119463,98.7547901998443,126.084470470118,104.27807340168,NA,86.0649116660224,34.2036507671866,56.1485440461596,20.3230511579989,51.184335985805,434.24759469032,98.4450580022689,76.2685616193769,NA,NA,8.62115579214766,66.9596416702167,75.8064570416914,69.3029720981337,64.9644981870023,120.560486519547,108.275140767473,115.462966405442,NA
"C","Energy production and conversion",115013.904665207,117560.55427244,125640.072828292,79974.5585857144,86031.1443242459,85448.1241366527,159704.801157767,154888.378716904,101924.429975943,81623.3059249048,90961.9163345578,89835.1968389202,114111.492224655,108160.609122175,71938.8034567804,93739.8936784072,144670.278884689,84886.0198820802,93560.4001393495,76806.7953343981,79557.5222855649,88427.0139125467,67875.1288274348,79519.5724206052,87507.8430386054,113782.774819939,112490.056393563,112893.061021491,108737.292720202,133865.299158899,95725.4407620618,98095.1728129913,103439.123048604,95829.5729661052,97586.1166441004,138644.026184988,138678.708473364,102351.203041667,105790.541302316,80742.7469374482,78325.2290991306,86864.533080652,78593.74121553,81136.6178647135,91112.5032788221,81098.3860714587,87032.5294804751,172719.176990111,59872.5993490158,77496.4882518627,84633.7775851452,78061.5664203681,82076.3357914009,76004.9880229435,85426.6710249653,83905.949365589,151222.241348413,75113.6464384741,89710.0115171292,68740.2441412254,80533.693130636,85581.5145609231,144613.45276093,157139.584316286,89260.5701896523,75701.6503120539,84863.2102082827,88235.1380334915,67720.8436185685,72741.9989032084,67213.6589070251,97326.2797248851,129615.612945186,108291.680144508,114978.873204797,115575.833571439,105469.519394718,125139.588219357,118410.535746888,93042.9368458192,81747.224403756,97181.8667936444,104932.310731964,77314.6524775458,97680.7498647186,121757.443504458,153888.527520543,29787.5182316553,55443.5459344818,41649.0760905761,130371.929442569,126278.124493134,130316.533818082,92948.9407427986,131693.049406437,65602.6131284341,104787.091068758,99973.0871615067,109425.438928383,106338.969666299,105973.331043202,135175.017104859,135651.160733351,134970.648315563,111660.606726956,146456.98637074,85055.1836813374,88021.3125783999,95783.090257332,96942.1784496985,97167.6819843571,101706.132144277,129078.277231536,127756.886856602,196508.43241875
"D","Cell cycle control, cell division, chromosome partitioning",17054.9755987228,16723.8300783608,18499.1041898004,15624.4880116761,16804.1975807448,18777.7744830407,19442.7277206559,19456.0022687369,19982.987374893,19952.5944095362,21906.015207678,21345.2300123943,22133.9035646802,19185.9616828725,16200.3713448521,19270.2721577353,12204.3419931595,15135.2247786747,17296.173599065,14710.2437430361,16118.7816306924,16224.2287558115,12156.2769216385,14821.3500607184,15580.409113265,29514.2475650203,22273.4983115929,25837.1767504004,23945.5204089884,27902.3156250328,20954.1612460198,21831.5433727193,22343.6274881873,20204.0869478983,20328.9936318146,20846.9238891148,20301.0123637756,13977.4922542176,2498.99902298977,16984.4256046112,17195.931961067,19253.953186797,16102.4231809293,16823.0877336153,20670.9994158911,17396.5214941583,19435.1910347345,21279.4428654959,10407.2790411434,14181.8880716641,18033.7896483691,13997.6399624781,15491.1157197253,12704.1917295678,17297.5210326799,16039.9111316447,7305.20705320671,16446.3682904082,22563.2607720755,13216.9450126096,17887.4954679099,18904.6948601369,22280.4560234516,34763.9713325459,13853.6768169501,12524.5738460934,11451.6815888835,15729.6526040256,9896.40904329302,11423.1242484105,11492.0140348252,20132.7087522686,14427.6644605747,24620.4223670095,20811.9458813028,21855.6613783999,21041.2884361886,21496.5410398772,20590.04558373,19277.7144016048,11164.9303644265,21550.424717906,13330.6774652209,11265.6319225131,14949.4508829934,19484.058443187,34771.1370783159,6438.72676348433,12750.8300756248,8956.76735557273,22765.9281560636,20768.7858716494,21982.8549844737,16660.7010344158,22014.3393621723,19448.5992447328,25347.0605867862,24612.8524967122,20511.284369834,23473.231796133,24405.4030067836,21278.0671764338,21181.8397520883,21463.6652630331,28495.6331326903,9269.36673259611,19413.6628401922,15438.8836393353,21717.5954716868,20094.7914764803,20108.3230879176,20765.9308046328,19953.7627743465,20128.1301058516,21693.8855589918
"E","Amino acid transport and metabolism",115176.013495504,118830.527094684,130661.879650504,85853.9837722865,98908.4942178915,99118.3167290679,169318.973707828,166266.576022359,100577.409076529,87129.5605943632,89490.2907781359,86812.7867331174,142513.096950809,110466.281032372,65670.1759423657,89099.8424704286,142004.070690901,76258.7715533242,98575.7241071058,77044.0371617944,78918.3676943329,71308.5987694358,63137.5536859503,75758.9433421866,85321.5671586295,153342.289177975,119140.220702108,106713.828083587,104563.491032379,141705.031229721,102180.714709817,116377.549418444,92550.86605876,98210.7024139375,96760.9466746166,147297.399157854,144943.564211822,102313.098773238,163539.836993673,94664.1207117796,97484.1098093898,111004.034175477,93729.9709482696,98418.3109643124,103225.773229684,102571.585809009,99438.8756577254,86146.311767787,57892.4577441433,77956.5759784643,86308.6718788715,74713.4713384793,81176.2685435354,66774.4379558034,90336.3036880226,87112.5404554347,107592.253870865,85629.0151831573,103859.234429592,73359.0925219119,96051.445739887,91863.8897959091,165749.781582607,165291.34822328,78335.6889357873,62313.1494540299,62714.77279086,83164.3651082319,51993.4454645599,64947.0074937574,63812.6338065234,101723.357253436,120204.201332931,121881.612978955,136101.668148636,138702.513701113,121580.178048554,145975.347934564,137853.036447242,86993.5554234698,69698.489261222,98181.0901127821,86669.6654208752,69993.0757846544,101505.06707612,131240.156177941,226550.858081769,31658.8968160274,51316.7033454489,37554.9158482334,147293.257344806,142689.125044562,145421.999976516,106263.915081104,145797.730133039,86871.0037543491,110628.617643096,102374.626365391,105918.960845241,108919.128728348,117679.671490756,156157.975111997,156646.903696234,156873.429238148,83807.6888105855,185930.979596604,83862.4820544263,79599.2776796272,95146.86931561,95318.2849528944,91668.8341533761,114516.856757375,156016.495752236,154997.409930295,139629.026866758
"F","Nucleotide transport and metabolism",32592.0787354947,33010.6787988506,36103.506365713,24820.7872602945,28100.8648483233,31310.208952859,45656.3631928613,45451.8067226131,28374.225390442,24857.0369299156,25607.0695862555,24509.3829225613,37601.2332849456,29879.7246465769,19901.1170976141,26321.6686228569,57090.3297321457,22705.4503157283,27745.2442253374,22480.0055530603,22789.7767074697,21982.5655801004,18762.9952586844,21976.2551188364,24782.6729428832,55027.5408514516,47111.9411242126,29450.9115924643,30398.1077275314,51664.9031606725,27575.5551950186,31552.4526790744,26687.9028510978,27765.271632905,26810.1701591503,38939.3070136179,37224.951413335,28303.3955974723,46985.9340091765,27775.5021034456,27469.5112097976,32628.407208689,28255.1723059198,29098.801912653,30768.0962256719,31075.7909162017,30994.9427517955,32770.6624180075,18139.0923289162,23135.2076317159,25269.902151399,21492.1016788383,24218.3003955438,19777.6892686857,27024.8601418427,24937.5780932634,46859.450964449,24437.8731368541,30991.2324218632,21173.608820534,26919.1935058785,25816.1600043882,39291.8964754473,72767.7418180489,23508.6937649086,18962.6672168364,19171.7163800478,26217.5371401338,15831.5174079377,20085.032569919,19408.5530171268,31240.7792808844,39879.4909704056,33928.1462730933,34002.1841248643,33920.6474558943,30149.6504190942,34014.9570992521,32856.7482253955,27299.2426060881,20193.1254100499,31446.5823908029,23674.4866979248,19971.4904394622,27143.2106777516,30983.4473226691,67631.910746837,9345.14843442661,16142.4409588583,11729.9634443859,38449.116731531,36855.3258095086,37903.9124249799,29657.3453022202,38288.5891307661,38454.7428530353,33301.318089371,31873.0954679658,30714.1136625183,32664.058404334,33475.9913786303,41779.5587956601,42905.8921990829,42016.0089628138,29603.940025103,42530.9948696567,27034.7252718238,23379.1388526013,27683.2390288206,28787.3157025359,26392.345559386,32226.5009467301,40321.8697466643,40100.6711772462,39832.4997857451
"G","Carbohydrate transport and metabolism",86363.9951585891,89282.3684685322,98658.7969238021,67987.4612686808,77991.9437144869,69299.8635273133,117859.664838566,114765.143967421,78175.4181610384,63589.9852119241,66535.4694643006,65706.9499444641,98266.6618819448,81387.6551033107,51869.3720659523,70638.5136446247,74182.5312665341,55051.3672837899,69079.4617184735,54239.6797957534,56397.8763592543,51635.320958551,44941.2172716136,54793.1693385655,61105.7296798448,113071.048592602,74944.3104857126,73299.1495538152,78702.0475471658,91936.0055948967,72999.2562294586,94008.2474264803,75415.8267961558,77140.3972358564,75341.3827162247,106652.909154986,104821.231715106,71928.4738667039,92411.6092995384,64994.4571866119,62471.2549892618,75320.0862082871,66212.4437085927,69650.60121703,74016.5254148772,72399.5505896444,70431.668758677,39992.0402264965,41144.4920018375,54484.8462678539,63634.7970186897,54201.2053034568,57301.8063138122,46583.8925193378,62713.0995578102,60111.1332607135,52319.1804218822,65945.9192434497,87153.8003050563,53228.4799376537,71473.8797086718,65721.0998827927,109782.45102915,95898.3805240451,57891.4483234458,45651.5457477427,50760.5689455224,65975.2898493854,39298.0843115022,52474.2172292969,52020.629878633,83836.2057766248,57644.1483839741,87371.6859438556,103821.995978985,105571.674305833,107137.104986374,105657.064690253,101888.268308053,65617.1857568896,49595.8110142308,73232.2698788503,59015.5314350796,52414.9099476276,70889.8060767777,68972.4939869728,100733.776675792,22594.961242959,37740.1584256842,28134.9859430271,102245.359065391,99133.2194132488,100629.437675089,85461.4835513802,100299.936634022,53349.9098783642,88686.238679055,79077.4324262119,78052.5240775511,85637.9076563555,83921.0328309015,101869.547384678,97069.0574364259,97438.799787912,69016.410053036,80926.7367169017,69194.6615586633,64280.744342839,70890.5988993959,74769.7539238254,68922.82289659,91533.9842235441,104742.239978881,106893.122036691,94111.0994326442
"H","Coenzyme transport and metabolism",55535.5507307221,57685.6892912467,63125.1158046361,51499.6091694,59343.9251323662,55734.1992287877,83335.0076842826,79560.0330338838,65629.249458236,62004.0586662764,65253.680595864,64734.1694197073,75897.2548315095,63552.2053896191,50466.5454220348,59886.5082735894,47813.1433960477,48194.5431932249,58198.1397797851,47334.9893083127,51168.4459698395,49200.3588913114,39502.1107408778,46704.4810052685,50002.7984718931,90076.8029613588,66461.4746942653,80187.6326877438,79291.7864902408,70779.7637234092,71868.4685923155,69617.0884908814,72128.7680249938,69220.0908641068,68276.5889574807,67424.7934309509,66162.9395338897,46278.5910744557,73144.4453113959,58190.8423633234,57929.418587796,66232.3527042983,55482.2903865285,57936.849670229,67390.1674820627,59571.229994122,65059.1027491247,24177.2189458956,35144.8871627901,48316.0347213682,61343.5791767711,45789.2426110644,53129.5785445423,41114.874911696,56739.4125095342,52744.6167499259,55977.9360395462,52747.0590118155,69818.0249944572,45058.1758510564,59537.8228393383,64020.3810706764,80987.6224287911,76818.9956054299,45655.6639973781,38598.2971487948,38910.6483986518,56369.3259097947,31289.2568057235,41384.1459003821,38556.3166130132,70697.6495253727,55524.3838434484,78826.8225417214,68463.2802654116,71474.5502140705,64463.1351922879,73899.2657788102,67920.9848477701,61638.5289259422,38694.2553405205,66538.267670552,45015.7841358511,39950.9331717645,51526.7491963434,71171.210108483,123592.413648286,17713.8621037865,39027.6338602658,27681.5580613073,76307.8300632542,71578.9004322595,74049.6538241729,62405.9757113325,75403.9838683358,53164.9165665902,82101.0314682308,83441.7230204803,67674.9291483611,82403.4718473004,81104.9237163596,74318.2886022574,70853.7918986848,72778.9574809683,90256.8697411138,61015.8862807934,60623.0445443901,56836.7737811958,70426.3626034662,67889.5117367146,69979.4224190519,70100.2779346465,73612.7985260188,73544.8229544986,61147.3894631223
"I","Lipid transport and metabolism",66188.9552524026,69779.559813988,76083.4885241425,51316.9779888973,61467.571291639,57056.2943228137,118499.182049803,113857.271511442,61660.2889006924,55600.2160308382,54029.4425286395,55053.8621410501,93578.9800015358,69211.9914420145,37096.9650957766,53719.8450047798,77537.2804419176,46973.3109389818,61752.2553933508,46867.073213536,46882.1240862155,38105.1795950319,37599.2205989604,47054.9106358314,51883.372825863,85852.8703298642,65250.3832577144,65658.7030330866,60270.3010152831,65450.6563972516,63667.8221002556,77869.7914790911,54945.9488066849,60381.5133972191,59410.8858934869,82303.3372225196,80362.5397126411,58809.3410668917,78974.1335401314,54747.5942197954,56032.3223941226,62938.9591936214,55536.2775016392,57154.1245549842,55996.2747512537,58874.9552741985,55444.1456949529,47397.1032793828,35931.3266523757,45705.1342170472,50436.6714143415,46263.9806729745,49633.2087101347,39796.9941032129,53358.9371151972,53266.3562327829,57788.0810105658,53785.4258088544,65471.7283390398,45134.3532594849,58771.0501232352,58799.1072429978,107390.624922341,93846.9266285381,48861.5396693099,42644.7285477642,41287.199542344,53161.8382989353,34905.1618103056,44732.370834602,42160.9379771288,68533.4998844521,71274.3717722071,75528.1454058106,84083.3272125244,100545.249881459,74454.0205784614,92246.5489822939,86352.5480282675,50867.6076106932,44186.4674827495,59691.0473649146,53696.1537965068,43072.0747706251,64534.6603893929,71192.4885160473,84475.043086436,19606.1815518555,28833.6006646472,22272.291221456,99857.2554889764,93854.7019829604,93645.0566694773,69650.6672177419,95559.9363243512,43167.2107472773,69343.094205607,64857.0584932632,60775.4090759488,63081.1196382132,67720.4745183593,98080.557245438,95672.9466151628,94118.2278444766,44697.3713849018,58924.6515152779,46053.6962964107,52876.0046276305,61933.3656720974,59344.0925142192,55350.8111975954,81296.631734777,101447.668327943,102849.612095818,85737.4291124383
"J","Translation, ribosomal structure and biogenesis",87901.3380085572,89682.5358747052,96859.4798688084,76920.7288852103,82255.6379903707,86916.7577573284,111975.052758139,110060.531536795,92539.0956500646,76295.026174422,82317.0604408793,78592.6584453677,97676.2946030105,99493.915452499,65134.7595921183,87324.8998485405,150693.865209075,79666.5972122148,83993.8999295817,71704.887503717,71526.9590439863,73456.3351500743,62155.1523204949,72459.679466088,77845.0746374459,138635.198926048,121502.658537786,109324.709641766,103574.924194178,231543.956379585,87917.7113977072,88521.8894974523,91009.9484926444,86832.6855919546,85669.8887354466,106961.944810262,106977.835701777,76762.7991441718,134175.651474758,79561.2923991808,82322.0656371255,89348.490299132,80140.3667054012,84938.3134239798,85884.2386053285,84158.6370252653,84573.1257532417,82345.9433354987,59054.4410046235,72277.2651471753,78543.45937674,71497.6081301715,77324.3879668908,65009.0757918096,78546.0732561902,77938.9852776805,130373.756498593,74437.9615898435,85689.4350581651,72932.3113354534,78929.9429520903,80142.1596336424,107855.402579688,199316.857634371,86322.8791799873,81278.4763226597,82235.2999091588,85967.0474852024,72115.6956482747,75956.5992806319,71814.672533586,92414.1426910036,120022.930853639,97417.6822407058,87847.4765961651,95907.7674337904,80780.2338832173,90779.2190564811,87702.7673568424,83575.128546998,78487.0245292005,93591.4423380207,92398.2290198769,77215.9574044316,86434.8795489334,110435.33509762,215344.331724627,29360.1862458207,53083.6814863329,40007.3009944793,106275.602834243,103197.323356502,103534.295425644,88466.668674334,104475.652685065,94039.7742594507,97215.200008266,94754.661171176,101786.877184348,97677.3198606051,101567.757309282,106204.437715222,102718.365225192,101523.729793852,75957.2386965403,158383.329811639,83357.7289691663,81652.7249152115,88794.8222308263,92741.4561516995,90421.4479406184,98486.7369391013,99591.7818656132,102506.854307301,161336.905839305
