"accession","function","ARIK.20190715.EPIPSAMMON.1","ARIK.20190715.EPIPSAMMON.2","ARIK.20190715.EPIPSAMMON.3","BIGC.20190709.EPILITHON.1","BIGC.20190709.EPILITHON.2","BIGC.20190709.EPILITHON.3","BIGC.20190709.EPIPSAMMON.1","BIGC.20190709.EPIPSAMMON.3","BLDE.20190805.EPILITHON.1","BLDE.20190805.EPILITHON.2","BLDE.20190805.EPILITHON.3","BLDE.20190805.EPILITHON.4","BLDE.20190805.EPILITHON.5","BLDE.20190805.EPILITHON.6","BLDE.20190805.EPILITHON.7","BLDE.20190805.EPILITHON.8","BLDE.SS.20190702","BLUE.20190711.EPILITHON.1","BLUE.20190711.EPILITHON.2","BLUE.20190711.EPILITHON.3","BLUE.20190711.EPILITHON.4","BLUE.20190711.EPILITHON.5","BLUE.20190711.EPILITHON.6","BLUE.20190711.EPILITHON.7","BLUE.20190711.EPILITHON.8","BLUE.SS.20190716","BLWA.C0.20190716","CARI.20190703.EPILITHON.7","CARI.20190703.EPILITHON.8","CARI.SS.20190710","COMO.20190806.EPILITHON.1","COMO.20190806.EPILITHON.2","COMO.20190806.EPILITHON.3","COMO.20190806.EPILITHON.4","COMO.20190806.EPILITHON.5","COMO.20190806.EPIPSAMMON.1","COMO.20190806.EPIPSAMMON.2","COMO.20190806.EPIPSAMMON.3","COMO.SS.20190716","CUPE.20190625.EPILITHON.1","CUPE.20190625.EPILITHON.2","CUPE.20190625.EPILITHON.3","CUPE.20190625.EPILITHON.4","CUPE.20190625.EPILITHON.5","CUPE.20190625.EPILITHON.6","CUPE.20190625.EPILITHON.7","CUPE.20190625.EPILITHON.8","CUPE.SS.20190709","GUIL.20190701.EPILITHON.1","GUIL.20190701.EPILITHON.2","GUIL.20190701.EPILITHON.3","GUIL.20190701.EPILITHON.4","GUIL.20190701.EPILITHON.5","GUIL.20190701.EPILITHON.6","GUIL.20190701.EPILITHON.7","GUIL.20190701.EPILITHON.8","GUIL.SS.20190716","HOPB.20190715.EPILITHON.1","HOPB.20190715.EPILITHON.2","HOPB.20190715.EPILITHON.3","HOPB.20190715.EPILITHON.4","HOPB.20190715.EPILITHON.5","HOPB.20190715.EPIPSAMMON.2","HOPB.SS.20190717","KING.20190723.EPILITHON.1","KING.20190723.EPILITHON.2","KING.20190723.EPILITHON.3","KING.20190723.EPILITHON.4","KING.20190723.EPILITHON.5","KING.20190723.EPILITHON.6","KING.20190723.EPILITHON.7","KING.20190723.EPILITHON.8","KING.SS.20190708","LECO.SS.20190812","MAYF.20190805.EPIXYLON.1","MAYF.20190805.EPIXYLON.2","MAYF.20190805.EPIXYLON.3","MAYF.20190805.EPIXYLON.4","MAYF.20190805.EPIXYLON.5","MCDI.20190724.EPILITHON.1","MCDI.20190724.EPILITHON.2","MCDI.20190724.EPILITHON.3","MCDI.20190724.EPILITHON.4","MCDI.20190724.EPILITHON.5","MCDI.20190724.EPILITHON.6","OKSR.20190711.EPILITHON.1","OKSR.SS.20190820","REDB.20190715.EPILITHON.1","REDB.20190715.EPILITHON.2","REDB.20190715.EPILITHON.3","REDB.20190715.EPIPSAMMON.1","REDB.20190715.EPIPSAMMON.2","REDB.20190715.EPIPSAMMON.3","REDB.20190715.EPIPSAMMON.4","REDB.20190715.EPIPSAMMON.5","REDB.SS.20190709","SYCA.20190617.EPILITHON.1","SYCA.20190617.EPILITHON.2","SYCA.20190617.EPILITHON.3","SYCA.20190617.EPILITHON.4","SYCA.20190617.EPILITHON.5","SYCA.20190617.EPIPSAMMON.1","SYCA.20190617.EPIPSAMMON.2","SYCA.20190617.EPIPSAMMON.3","SYCA.SS.20190716","TECR.SS.20190717","TOMB.C0.20190709","WLOU.20190724.EPILITHON.1","WLOU.20190724.EPILITHON.2","WLOU.20190724.EPILITHON.3","WLOU.20190724.EPILITHON.4","WLOU.20190724.EPILITHON.5","WLOU.20190724.EPIPSAMMON.1","WLOU.20190724.EPIPSAMMON.2","WLOU.SS.20190709"
"COG0001","Heme biosynthesis",1214.30488251449,1310.51330564931,1382.09087452187,662.897820905772,908.669120681365,1274.72716985323,1382.76658097273,1307.1852530266,791.112446697407,1186.5952762749,1060.06406088024,1211.65355246186,1254.79314569026,877.551391222099,624.000129432129,647.391703092863,1421.33091138546,1001.35001853225,1142.02035831699,1004.05629083141,1063.60640273997,769.419554696651,762.300254466318,983.832743464613,1030.11616609774,1597.61140658157,674.70976344704,1542.81397610907,1223.75450448786,474.918782209697,948.035576963409,763.27880101126,1185.32793795738,818.362809991828,910.647353740454,1312.42085461229,1367.57437536487,893.4323787835,NA,855.792730506501,963.269033220718,1241.77848280394,995.438530522939,818.723698134861,994.572365625338,1137.5194373241,875.668723477693,NA,460.143397074323,666.178786893863,658.105180586032,601.741814984562,700.340493245844,603.544426331775,949.452229224415,693.101974504605,NA,1003.85242379023,1207.00281398781,902.169864171616,1111.40924632932,1219.66506582537,1532.97531425791,1619.42799417382,764.522091378581,561.936121708048,505.430562367167,732.296121856994,354.640347064674,490.429252461238,438.671640097086,1033.60042690044,1327.84743408273,1597.32803967792,1294.71255773528,1183.6440361893,886.501879794103,1073.76923627282,1143.98338749266,741.178621671614,620.262066224697,802.723852484867,756.572410279509,551.306592873061,916.105452671824,1482.65213237788,1318.34624628192,292.508144870561,392.425836346165,311.994529977089,1246.71054551002,1257.12101746198,1336.66094856643,1001.68593962596,1249.52589845821,1142.35817786668,718.054698459297,604.022524968099,996.089419622971,929.52444366687,732.317240061615,1323.50768010377,1345.85462024171,1317.16333188755,480.559169252552,1693.08164874825,804.831462356804,714.86235827414,1149.72169576374,960.215947249273,1272.05567714181,884.796171440388,1614.67720489965,1450.80954889581,853.963768852233
"COG0002","Arginine biosynthesis",362.739901081906,389.368880437891,444.322145570566,261.93207893001,304.772199482642,579.267626837656,736.033297764455,620.673829521767,425.751860788496,470.323937540212,440.470347469774,403.222017781843,504.109232571687,435.60005519312,288.574673271548,358.160633167273,NA,319.593349934196,434.587253029005,333.564667322913,305.421164989139,377.747509204263,271.715588004209,292.766005933835,339.026112636631,744.182890601093,526.694970947016,979.246992794471,655.403605587918,NA,461.987146958324,445.260319448239,476.582205626393,494.468562041437,476.9198418647,634.895919809509,564.102180967288,372.794974668303,NA,392.283038829738,296.484180597302,483.142638092232,416.039148913869,374.182961131351,386.703524861824,419.570480290812,433.685741056204,NA,262.303794370138,379.782820231063,480.817622685896,294.351349704236,389.893164194292,293.954133105866,406.411520488242,387.106565496047,NA,358.470178086492,449.012845783693,291.250897477704,445.604596927708,445.820874002005,595.753232914002,1263.47818245207,268.184911847553,241.03587752035,254.122513826646,371.411333124461,198.671753989285,288.365835352621,250.096334156991,474.311221994175,670.346446573707,503.519483957171,645.962589843383,687.462640915255,524.133057350274,664.7485175443,549.814976228161,386.188450542473,295.234144311531,416.287414119985,283.725494716477,286.599216874208,371.320179872598,NA,942.875182304547,134.33136708463,184.028742915547,137.579376950084,664.45600055696,610.273367467732,625.674428462272,379.620828484894,578.60230600485,479.207498844238,582.587026741357,641.119306030702,632.854459423393,484.116883299006,533.458180862331,656.306903759753,604.366562005256,525.252840886969,534.037491020972,NA,351.768820789433,329.702599467896,381.10427623734,310.039083039716,361.022886774466,434.204652840642,678.734552683713,566.104038865261,876.948837353327
"COG0005","Purine salvage",451.903188554475,494.42489016492,488.578777192752,289.733010850026,322.892401111831,499.107076484938,587.919565067398,612.5092233654,293.118790890082,310.790942763907,289.452306859678,281.888743051415,407.798146443647,286.330011195533,284.105420869501,291.725470571707,NA,294.156843741561,361.801639343095,328.753100288758,331.338171963155,279.601345871804,261.42056214138,311.132059332641,323.265789492609,372.079075325419,464.077381174336,385.084788253953,557.137422032194,721.585221465022,269.981552378524,282.673904370946,269.124150838048,290.841676523537,275.942095035951,510.625151431632,455.892103447849,302.134620814884,NA,389.079786636606,491.511270121084,577.240641590195,341.391396692069,434.306505845155,435.242341088946,470.877804500268,460.369897859156,NA,215.410308092591,291.440324036363,274.731016961243,282.188908279832,324.598983294475,234.460734853112,445.906667108703,303.864733136252,NA,287.45619029325,369.986605283586,234.365094889194,385.630991619757,369.34387261424,419.36359778963,NA,268.519647781019,214.487049539208,205.048990734697,305.069794096416,224.182732813824,232.354416327138,266.743935303986,369.40792295584,NA,174.476447371763,463.229134252281,332.756247980598,447.78823681261,439.665424801543,384.056575273888,343.972728003405,263.678548936146,354.347595924444,248.507654043541,299.233112602516,327.310091635494,NA,251.251751387154,103.380250694072,201.270442692255,150.847639321717,432.030158827949,486.021240994347,462.495217486865,334.840742951235,482.515297387217,779.745958779938,320.014292703092,233.140195900903,455.572187026418,372.327614192499,367.274990713964,528.253417485404,614.964612121213,543.388520149511,236.100880072975,NA,343.518922120507,262.017332634209,366.568227189194,267.314091883175,363.994929998745,334.549443857914,525.155875422308,457.481509251576,528.222267105579
"COG0007","Cobalamine/B12 biosynthesis",314.227858504887,333.417972583377,339.687711759096,401.778564951897,440.232874568543,309.274418552878,861.481027689351,775.496874772534,532.552431442562,480.962407034377,561.042418513546,548.671106741586,652.798097277064,442.776161231009,406.56449272263,475.8296750877,NA,365.68329617934,459.500109399587,330.846273167381,417.989418427943,419.676986324654,299.83726482091,332.988080264913,391.548384679096,344.269620247712,204.010211110801,869.850610328276,744.083068508811,1369.3175462992,597.378566110597,534.763340958969,693.31016275731,604.844034343428,558.749439009658,420.55575349522,383.364563223543,283.241503931927,NA,511.247210466458,553.389761969083,527.876260856255,467.374535361563,471.684936235757,683.988622327524,500.379544647579,651.008139393612,NA,244.460702216057,364.516916124761,521.614059214436,326.292479953405,384.284127281677,297.379787376338,434.515489473389,413.274294392975,NA,507.001058870192,593.067362477312,348.771693683733,554.090691502874,475.61183066479,555.325039810991,308.136532832606,300.617118325824,225.751609353806,249.707025616682,438.06001698688,161.608424025909,245.810752663605,230.039834263407,592.489933102032,969.191577171058,531.564545406826,466.771263612022,606.957938494691,413.699750477948,458.237832348465,488.376635272664,532.114999384241,242.408618329427,580.762511979249,298.492562171223,235.098778213788,346.845847352998,373.458520847406,NA,102.045274648158,314.327191606311,197.960524303602,728.304515428339,579.367562369818,604.020306078189,497.323736380531,576.476549382579,113.28797215037,840.685598603445,944.779361092186,518.32628702607,804.210854457609,747.103708765017,501.237658418611,689.097266334347,718.93779759007,162.311807068071,NA,570.84580213257,414.851523933163,547.122516931695,498.6030020465,620.726371372411,636.423657567587,467.926527956817,544.703676529495,NA
"COG0008","Heme biosynthesis",1345.73861599094,1582.98976239222,1755.09434284841,921.244699285324,1100.54416478886,848.32724216102,2309.22672844562,2247.47581646023,1130.95373844281,1009.77386559908,1045.8535013054,985.154164790374,1528.02560297803,1192.68693230756,796.227732872007,1020.54029945209,NA,878.214209193476,1147.03203727153,851.706298522179,881.891877546068,830.614863058904,724.509186394297,882.85375497372,941.035596535693,1822.45920183153,1631.93153869852,1372.90214731038,1418.25684318782,2356.5057859316,1054.56591160254,1095.45660260205,728.569354197908,947.693342845938,839.595550906168,2086.07451243004,1807.20717028909,1310.80470460539,NA,1135.16269625592,1329.15855151993,1339.1792029033,1119.22241508539,1096.71082149241,1074.06141003796,1122.02117415268,1248.82564486774,11004.6578898905,643.912253588335,811.688927625415,906.339231300274,914.711890403067,884.265081120369,755.69418969632,1018.71427022372,962.365198468033,1666.91908584252,953.249639854728,1190.39238796844,968.964991537179,1156.48215825606,870.637341717616,1662.94817280016,4225.71136523992,908.663243184808,764.727305522972,764.872831687692,981.272066133952,589.647109191343,850.591009027282,679.393340062542,1107.33172065648,2195.34653704595,1023.11507458903,1647.08807022818,1607.73172023856,1600.18952579854,1558.7782712857,1489.64791864003,879.31159652945,978.891287804326,1154.53014415305,1008.652612125,1030.5755711418,1143.89804136702,1706.7401476616,2268.62581671486,374.796824461539,622.531179248917,479.81936387099,1691.79397937558,1684.35185534313,1633.15996050172,1234.91025836834,1845.55943397204,878.286773834147,1109.44606935186,1143.04057365027,1163.79996439846,954.859872296209,1072.9756562489,1746.44582819247,1951.33799303316,2077.97691124043,214.98616722092,2683.19767329824,1153.71576150083,710.756330008969,1133.20742129776,1028.88624757607,1103.01891431515,1197.6379639287,1849.75052548295,1754.89554756517,1753.08841671498
"COG0009","tRNA modification",426.782675640259,432.750349793809,480.912134334785,474.839859877884,544.506126294117,735.198489775431,797.195088801229,664.299612038317,537.968768974666,463.098886016642,490.224828337574,473.828042560325,538.878871074077,491.045380214588,415.649929909146,491.679541881855,3207.74453400331,448.703326524984,507.286971776613,450.727350437413,389.109524662781,474.635431491897,359.415814756444,429.593393284643,426.953150667052,1465.69773729276,1044.28622637613,943.713669373883,764.564675499464,NA,570.07395920188,541.052538184115,742.849419926871,522.470287065248,533.816270926928,562.784665696664,532.857625522169,390.585314235573,NA,482.447766228967,482.052354768548,549.02029560075,522.916906822291,485.601015720498,466.679386029609,535.838735017586,618.97938431051,NA,323.672613580617,404.917913813846,533.614203277649,387.0322500166,446.831862280396,325.244481759669,514.320137092106,488.918801440689,NA,500.302590678217,562.67876407669,426.034374192095,616.591059903855,630.268156828448,667.158228039872,1543.20098291599,466.491522164148,395.181190029403,363.924109653356,411.627703449417,303.526340803095,363.941253790275,369.106083307995,511.927207344095,669.274528257383,1131.55140712535,484.983747173183,485.499418129937,471.302515725358,468.08876369372,439.934691959406,507.520374412135,381.694523799068,631.481407340205,374.932478648067,315.70426394321,524.224924451223,567.309938899858,505.511097630815,182.32401222353,344.325087446757,248.406660973623,650.051167567506,520.049545262505,494.968132496491,520.197719449137,541.9058962754,814.742968849934,624.685971367297,655.291237232703,577.944469296198,678.340423316512,605.469090578851,762.336737910926,568.018033559861,568.975300789192,575.499874427356,NA,431.435775588648,392.06921914779,469.410642643464,512.29229124836,467.93923091842,581.991377651024,339.488262065905,443.835201669246,NA
"COG0010","Urea cycle",421.639106510554,512.280893367657,578.507878335392,561.996119154431,563.881601852527,497.898560116311,946.077990783704,766.494526940631,587.873866001214,497.312162610838,467.304336452793,476.324694370614,641.650467699827,488.540302145258,393.163816516173,453.085356708627,NA,528.179916698034,615.802780438132,481.420959363168,508.249424416883,519.566941503106,466.246716999823,456.754502011361,538.182197766895,1248.52903292609,450.448316289402,531.840925543376,643.895098382726,NA,639.925912087159,755.004458080129,573.744534372921,564.732321023932,568.396874147346,447.779391218949,446.259520828031,326.586439968764,NA,563.727145996948,487.64968341799,716.332395433185,620.480568193438,565.854918660131,702.531921509882,693.032417167819,747.654651286234,NA,400.16109536252,506.08754645719,595.472177307737,484.705182761197,585.599357710222,396.177129629893,577.728773838989,608.218872004325,NA,567.188664808111,740.685003835281,423.09139325059,575.176226122448,573.536322865058,882.626237399595,531.257618222796,446.216135433901,450.392908164069,448.731771025348,575.851712204193,353.297924834751,470.939841348577,447.401151148079,708.131181230497,936.903227184772,595.089886686982,457.401486691571,425.94019156145,348.034029237365,451.314045442644,540.536454285212,687.296891997215,462.849418309423,737.855372439611,570.259908531392,475.875873728365,605.069940528189,900.701144001836,208.155779099809,187.245846392115,289.14896145027,250.647734470003,810.962275471744,725.962418843055,736.376467761751,549.502636422545,711.759716950088,453.029708965548,728.430621975728,537.700350549474,725.345973400448,907.339317752815,763.077966604241,751.747538894133,841.549765340825,731.146269618189,266.141325269611,NA,502.217598905536,612.315094154542,582.010227986793,638.24291104616,618.708577128816,771.720282599466,819.334794602639,735.256333596136,NA
"COG0013","Aminoacyl-tRNA synthetases",974.674060894768,1051.48879998014,1134.71388207662,646.055956709543,651.06514146403,837.237167730699,1526.79390314868,1667.68934542687,847.185748049252,674.075568164756,760.642049181678,658.394118889099,1177.86126309285,842.072970725129,575.782356352705,746.011846035915,2533.77371992377,676.402488934474,824.088283304164,671.203770783465,638.964577070156,689.001560463572,543.803444080487,633.275321256146,746.011745440989,1777.28385858381,1387.81102677018,1237.91464629494,1111.34922248295,622.848260611396,743.088459440934,847.024206619595,784.048680112396,776.347323579147,814.72927857183,1356.0055306604,1419.82376610372,1034.40516466257,NA,747.884487546179,736.341843317435,786.274740523788,725.205303549441,712.695623274009,725.054065082937,746.405000531294,772.876442513042,NA,450.196899845,619.357214242281,752.576523793624,611.616971815633,635.022525014683,549.264368824257,646.904662865078,669.633569769665,1277.10141312592,870.060893656748,919.252300681805,746.469593548439,850.975221118147,1042.88532690631,1420.90815290791,2927.84739861418,652.298052154316,498.884678908206,553.069266505229,643.997090692499,459.83281661858,534.817090385498,570.619815584431,815.334099646688,1896.84348230794,1214.271371928,1148.17143177039,1066.79360405097,924.196857999982,1053.56297320476,1065.06754432279,653.457960815172,583.48319253847,719.32492049033,726.188962588952,555.919584743931,751.116263129824,340.188980722242,3349.87785768651,297.975577808932,513.098266096162,363.686388282089,1213.22948242345,1212.61528282496,1132.56662804292,792.832025415458,1140.74251383573,757.895114627602,817.637854617528,552.513484434597,887.952333445595,676.20324530172,886.81875541661,1469.42103462374,1221.37201166643,1118.53583320629,720.395711526149,NA,642.859776180946,714.888198882933,919.03599864537,898.926651158553,802.334279632372,984.578443525534,1494.4708113762,1532.11285711086,3360.21748691577
"COG0014","Proline biosynthesis",462.62799028533,535.050863157979,550.967596959317,370.802961085512,414.545222702406,560.118202180134,840.842732851869,902.420354106953,544.248950005673,531.386041621266,615.707950793619,565.522298759812,810.062992497661,594.614679961787,386.188711455434,499.452911960074,2218.5398877303,388.716307982684,450.808005529978,354.90109138169,394.712003612523,380.557262072441,326.141340771634,385.355850354592,376.551369100537,684.914750953551,377.539493947805,843.399826934095,1021.64263351434,954.32215749513,630.327915817943,500.890257829993,553.313390565321,555.120166990219,670.660552369519,704.926385295283,621.872023766028,504.328574272259,NA,475.836142951644,486.524056578767,447.271954787109,424.643627551783,429.474094914492,509.169717617777,421.537826323379,477.495851603274,NA,271.495920881902,384.696809574589,512.367314151038,362.26989817953,411.730443348016,392.895794985182,453.616110497744,385.738119321601,NA,332.855178427908,579.651057088346,297.125790444452,376.729059574234,491.040305108542,631.141159704708,1455.08056671788,308.495801827311,193.827212029299,300.621755509399,567.569887924287,223.057196493059,327.229350701379,275.04650282027,608.481592084515,1070.27781786648,867.739853013045,504.047928076433,702.619289374285,348.72986850818,489.698843223653,565.200364929868,588.839726832399,273.273964262272,583.63421182776,377.68444001543,346.181729410797,371.909557401388,598.134471599546,1860.13965788288,128.19377174162,323.392552867884,217.294717493799,651.431800166023,561.526906565864,612.678256790975,430.868003803436,616.234855756577,297.69599805911,691.501959472867,666.155254205041,545.642426967267,735.321039065575,562.387570026719,398.321766400127,331.874370453799,388.84259588652,1495.36395745978,NA,565.760129010977,401.29749651552,561.440346560831,525.552500176508,470.279881684589,467.889336347956,590.001002519432,532.434945444585,NA
"COG0015","Purine biosynthesis",544.327529310694,593.0026201462,714.001436010742,490.851340763859,480.64048969736,666.345092040889,822.279119178702,827.40651710921,595.72384440108,460.987377174111,480.005418269434,452.624016471749,828.83294641943,572.987743310005,380.886750728814,567.799330768095,4557.47439146412,450.01202541322,537.250761666252,481.588760416548,401.256522172269,345.307813815937,353.19079744355,448.295133342778,525.723915691277,1184.97503422418,1097.57421908691,1031.53239999442,763.871834932839,1479.17557029224,688.977919437329,667.683379602109,600.427100310769,611.383671252662,559.154428681763,792.439220372188,756.108572450622,600.94124290241,2212.32984372755,605.20376511167,632.048383822594,769.826389662317,559.574594229993,574.759863796183,612.690776974679,633.646331727764,659.575688977422,NA,332.26098588927,471.185301489849,451.245468231095,408.85456120792,442.156414282893,298.030315847088,452.25029396409,457.4850051885,NA,504.719799421526,637.323768265408,398.073739647837,486.393545834553,562.4372553615,683.215667176327,2208.23678338696,484.849737545482,313.974210439877,357.479980942697,548.820898786523,321.656546209237,412.512282691076,349.703853477607,605.502414369061,1128.31486454891,860.622714300785,685.879395054387,834.949753404247,564.993401011093,668.745148500432,697.736897811065,519.901893811407,403.04639303736,553.659497511616,557.999023669091,398.520643646705,596.120119485462,2365.94822571871,1981.49707930527,168.47296613563,277.560344602413,212.49417615055,820.814109638686,877.275921882195,838.51250177085,625.988998955976,920.089024423258,573.299738155826,618.198926257602,577.025708188795,739.913948787645,640.534066061337,697.047593282406,943.435109258758,927.660897794414,943.660126294439,1060.57196071997,NA,521.46621329381,477.237848246384,608.272530038052,686.363714624899,540.951074406258,747.174265334963,1070.74433081632,1001.56788652575,468.392335725035
