"accession","function","ARIK.20190715.EPIPSAMMON.1","ARIK.20190715.EPIPSAMMON.2","ARIK.20190715.EPIPSAMMON.3","BIGC.20190709.EPILITHON.1","BIGC.20190709.EPILITHON.2","BIGC.20190709.EPILITHON.3","BIGC.20190709.EPIPSAMMON.1","BIGC.20190709.EPIPSAMMON.3","BLDE.20190805.EPILITHON.1","BLDE.20190805.EPILITHON.2","BLDE.20190805.EPILITHON.3","BLDE.20190805.EPILITHON.4","BLDE.20190805.EPILITHON.5","BLDE.20190805.EPILITHON.6","BLDE.20190805.EPILITHON.7","BLDE.20190805.EPILITHON.8","BLDE.SS.20190702","BLUE.20190711.EPILITHON.1","BLUE.20190711.EPILITHON.2","BLUE.20190711.EPILITHON.3","BLUE.20190711.EPILITHON.4","BLUE.20190711.EPILITHON.5","BLUE.20190711.EPILITHON.6","BLUE.20190711.EPILITHON.7","BLUE.20190711.EPILITHON.8","BLUE.SS.20190716","BLWA.C0.20190716","CARI.20190703.EPILITHON.7","CARI.20190703.EPILITHON.8","CARI.SS.20190710","COMO.20190806.EPILITHON.1","COMO.20190806.EPILITHON.2","COMO.20190806.EPILITHON.3","COMO.20190806.EPILITHON.4","COMO.20190806.EPILITHON.5","COMO.20190806.EPIPSAMMON.1","COMO.20190806.EPIPSAMMON.2","COMO.20190806.EPIPSAMMON.3","COMO.SS.20190716","CUPE.20190625.EPILITHON.1","CUPE.20190625.EPILITHON.2","CUPE.20190625.EPILITHON.3","CUPE.20190625.EPILITHON.4","CUPE.20190625.EPILITHON.5","CUPE.20190625.EPILITHON.6","CUPE.20190625.EPILITHON.7","CUPE.20190625.EPILITHON.8","CUPE.SS.20190709","GUIL.20190701.EPILITHON.1","GUIL.20190701.EPILITHON.2","GUIL.20190701.EPILITHON.3","GUIL.20190701.EPILITHON.4","GUIL.20190701.EPILITHON.5","GUIL.20190701.EPILITHON.6","GUIL.20190701.EPILITHON.7","GUIL.20190701.EPILITHON.8","GUIL.SS.20190716","HOPB.20190715.EPILITHON.1","HOPB.20190715.EPILITHON.2","HOPB.20190715.EPILITHON.3","HOPB.20190715.EPILITHON.4","HOPB.20190715.EPILITHON.5","HOPB.20190715.EPIPSAMMON.2","HOPB.SS.20190717","KING.20190723.EPILITHON.1","KING.20190723.EPILITHON.2","KING.20190723.EPILITHON.3","KING.20190723.EPILITHON.4","KING.20190723.EPILITHON.5","KING.20190723.EPILITHON.6","KING.20190723.EPILITHON.7","KING.20190723.EPILITHON.8","KING.SS.20190708","LECO.SS.20190812","MAYF.20190805.EPIXYLON.1","MAYF.20190805.EPIXYLON.2","MAYF.20190805.EPIXYLON.3","MAYF.20190805.EPIXYLON.4","MAYF.20190805.EPIXYLON.5","MCDI.20190724.EPILITHON.1","MCDI.20190724.EPILITHON.2","MCDI.20190724.EPILITHON.3","MCDI.20190724.EPILITHON.4","MCDI.20190724.EPILITHON.5","MCDI.20190724.EPILITHON.6","OKSR.20190711.EPILITHON.1","OKSR.SS.20190820","REDB.20190715.EPILITHON.1","REDB.20190715.EPILITHON.2","REDB.20190715.EPILITHON.3","REDB.20190715.EPIPSAMMON.1","REDB.20190715.EPIPSAMMON.2","REDB.20190715.EPIPSAMMON.3","REDB.20190715.EPIPSAMMON.4","REDB.20190715.EPIPSAMMON.5","REDB.SS.20190709","SYCA.20190617.EPILITHON.1","SYCA.20190617.EPILITHON.2","SYCA.20190617.EPILITHON.3","SYCA.20190617.EPILITHON.4","SYCA.20190617.EPILITHON.5","SYCA.20190617.EPIPSAMMON.1","SYCA.20190617.EPIPSAMMON.2","SYCA.20190617.EPIPSAMMON.3","SYCA.SS.20190716","TECR.SS.20190717","TOMB.C0.20190709","WLOU.20190724.EPILITHON.1","WLOU.20190724.EPILITHON.2","WLOU.20190724.EPILITHON.3","WLOU.20190724.EPILITHON.4","WLOU.20190724.EPILITHON.5","WLOU.20190724.EPIPSAMMON.1","WLOU.20190724.EPIPSAMMON.2","WLOU.SS.20190709"
"M00001","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",3400.43708982979,3298.44203500917,3697.08347221825,2873.61924602044,3077.14551891567,2777.56238181634,6068.20965691973,5903.57935852161,3523.17261381832,3065.62400327512,3528.11438466442,3176.30946638592,4258.39309854631,3227.04780327262,2612.52929738412,3230.22895706601,8954.5605126867,2663.83025522865,3237.77524724015,2573.88976981783,2824.90466485248,3024.96931042617,2181.720839415,2716.42670567732,2907.23324869132,7112.00377325395,4821.97120007741,3921.27420615637,4230.05974282251,12317.1430235134,3738.64757667586,3686.75536777311,3507.31414886371,3406.9703758466,3583.44436504649,4092.60215109611,3992.81463267272,2713.26772698783,11908.3199982445,3394.44064190428,3562.34296351062,3786.78595284107,3185.62731027248,3363.44521887964,3536.74710906565,3666.84025489811,3498.89722980219,24426.2613960863,1964.55570243979,2754.89149249211,3120.64402086841,2595.01974117862,2707.98497171824,2271.11077401432,2944.73128365905,2878.36814772083,6638.21564487216,3061.92398476373,3700.59546188488,3315.4458253144,3366.81708301431,3374.01183276088,4232.13477820693,11217.788192301,2894.67928758662,2703.25396192447,2670.05349574035,3491.44180235142,1952.02926505624,3005.92949231996,2645.34002428424,3920.26724842388,6797.5308539244,4420.20387223749,3199.5809185813,3873.55278813878,3090.03007388537,3369.96978688439,3282.83591106191,2974.98708640095,2607.94901646066,3534.1243180628,2539.6123217573,2771.22953123359,2716.17614834935,3941.53639399082,9656.4365250782,1116.41642117904,1979.32820989018,1442.27438691379,4411.9148081726,4035.56474573873,4062.1112071258,3411.29751179934,4226.9681362141,4671.17270068641,4377.50903880923,4189.90337624497,3655.30355261312,4244.87062926803,3921.0870252132,3892.26573638446,4038.22364958062,3956.09219240291,5398.26059553717,6826.563552516,3741.43936675364,3014.34947360179,3545.26831467974,3651.66337848537,3695.94937404781,3528.84319237129,3544.48336694366,3623.38950130539,5590.08936538995
"M00003","Gluconeogenesis, oxaloacetate => fructose-6P",456.639392547906,420.347718957422,459.9146114073,397.572206472786,490.302729958146,277.546515715387,997.687783057466,759.307340659029,364.572192153552,301.291152496136,314.342338284643,325.511715820743,474.604781248735,409.881595737351,246.629607765231,363.221091968387,2692.68313096619,417.753066560382,458.974352484093,392.422159202052,396.622511511448,346.982554418028,280.957651794184,349.904933518418,371.950438585878,951.012359766817,867.633957771749,381.979538809416,329.980528429392,1294.96849315757,480.963520863485,424.510838113928,262.283572682349,345.481239817375,327.926279350845,379.516515835392,325.320500755037,239.177810068382,2938.30562289173,488.349862123999,558.179905131372,671.403617833148,582.234198585625,576.278709933428,465.082836275453,609.987084986215,621.300472746762,NA,294.004352846913,441.100905437227,304.285019024399,394.797670464475,392.508014421214,381.840715321415,501.003328204062,471.528036917765,1735.977162256,333.353297318695,446.784200791592,415.653405812552,415.731432358228,366.549199240511,457.232097181427,1974.16444033416,434.160595718285,366.745466547926,357.762808882444,371.424979016138,292.067833194839,334.207960103391,339.271472977848,407.439711477488,317.506784326214,569.174944022444,291.468961077016,419.843818682903,239.61261022831,337.152153782717,333.057014190883,298.016749287085,445.868683763893,418.694277910232,518.754051544394,479.039038736966,484.291490177044,567.369181792392,NA,122.085648100928,202.155273249355,164.792819568212,494.510846256271,460.694612401652,449.884966896983,527.721517180277,424.512997338952,308.355811073462,512.47920704699,356.449496614128,647.190867680608,438.549830776955,534.0836210316,656.750129631299,619.765612128971,617.326178244188,652.726510101887,NA,241.106449578041,306.299124154109,329.378956732304,366.309977532133,300.111280598931,407.631185095852,407.015160432362,351.526880433886,1034.86682722155
"M00004","Pentose phosphate pathway (Pentose phosphate cycle)",725.121121695891,722.397006391171,722.720554699543,1361.58841382938,1495.18872688876,1347.54725701173,1161.12971075433,1160.96269090607,1504.65927597169,1305.67889577839,1437.84975941297,1347.56437500304,1387.01818214065,1431.46954765257,1090.42793130837,1348.56827737361,NA,968.196952547071,1103.5827193227,881.902275159301,1065.61492272208,1157.73348295031,718.95422921657,974.170616161292,1020.94266418838,2494.46249470615,2473.98096727697,2703.03473694853,2677.10279578732,1837.20427684657,1631.55342163421,1736.52122478253,2257.64756790425,1710.72584827069,1663.885278836,821.259894293539,796.60753861475,533.563904602842,3069.63659516853,1214.76650264233,1256.79622207027,1429.80578937202,1176.1608783121,1273.59097764209,1570.61550258448,1170.61889190634,1427.39097957082,NA,839.336986902407,997.049127996176,1371.1661132374,962.812968188469,1109.67406665507,832.577134289734,1147.99722672188,1081.33511568396,1375.10500970824,1212.63436874353,1391.04290139322,1042.734249249,1422.02433878323,1503.55252941773,1322.11118526754,2250.75894146127,1098.61270936711,971.61711007056,1052.16664288187,1504.64226535937,704.884861991218,1162.04515344048,1050.63948870676,1859.2761309818,600.441161515565,2052.56417977661,681.377052746885,1017.17183205548,1133.97910394515,853.37380507732,750.426975829462,1499.37367867785,833.814150997285,1598.42985921233,940.383054608999,890.776986447112,1060.67292690793,2300.24291299351,5165.87861341067,510.301500632977,1039.63092953223,706.04811694492,1245.00831983442,997.647003551514,1153.35734878659,1431.31535153186,1174.15810740517,1455.75685651438,2139.94312314506,2137.6456659731,1750.87695176075,2081.90512018555,2180.78002349963,653.624909891181,862.866139745279,1016.43949080916,3195.49772193454,3571.71496859546,1513.01365016186,1413.85471607255,1673.18947574152,1686.55814492674,1803.18196342664,1706.93502372739,800.158277100091,844.570735243304,1036.6738854077
"M00005","PRPP biosynthesis, ribose 5P => PRPP",578.367420192901,566.972097807776,583.554219455171,331.623486413796,375.94064945438,433.920996045033,835.771231519883,864.076630930375,502.961924661517,375.605008109015,384.02791724685,368.783181348257,614.704990056133,567.632468895829,328.198362953316,415.157297591993,NA,385.545825642899,452.139503008525,374.089653158456,345.344106836937,355.275617537392,275.691861338866,349.906793311369,444.025736378588,530.83594861862,1515.56835721813,317.058472519973,273.156729482304,1693.81228259411,425.423449877542,485.744657943659,328.70424699696,391.076728236418,358.224203321604,689.516784618009,646.507245045179,453.460335895093,NA,399.753205244916,436.692689514152,449.616609907512,399.639664674277,360.689677101075,464.876841810907,404.860219649217,485.066579610153,NA,253.696227637515,318.116711890352,327.412267258656,305.47413483452,335.084086981512,306.126212371719,391.313225744362,358.266404693856,1635.09981757829,439.231630332909,563.051241774413,401.277394372111,425.392757578097,396.548187477273,826.569380820262,2325.1534262228,289.05953945678,286.953609397661,270.475690947758,310.994880976009,234.44971230241,304.672218325873,273.291066237412,258.169070385898,786.201951752364,534.099577482063,555.028110551555,681.040529142757,504.221318057667,682.062226581695,604.628918045117,352.76508991192,330.553193567143,446.01086953579,407.81205687529,330.187280415887,553.132858081101,NA,2197.68533292023,128.683121073311,289.624997581006,195.252863263182,695.901750395913,613.282841110634,654.453144502307,483.478359415015,711.357496444998,170.091149041865,465.030264330274,395.411709163044,321.92389418594,396.309434939663,517.56537236193,972.48089801459,771.428099710976,710.837964916829,471.86391341363,NA,315.924986853204,340.367833622371,500.298735955046,508.990034881488,425.763447993979,474.820050801655,797.255004425673,659.547483579364,989.353945014747
"M00008","Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate",21.3900537177368,27.0546998165756,35.4921446623565,135.96830404893,216.733948507812,84.1512768560668,NA,NA,140.980952409162,196.255147741619,176.628818262931,172.429179302366,148.475360783499,138.892971909569,135.009046838074,180.009484262491,NA,139.522308249289,179.903233072476,147.557294611331,152.03345863644,111.616015178887,103.111458687674,150.322487201392,104.750472226269,278.729397429791,29.3350136429148,369.580400018618,269.595934057415,427.709593740042,295.159026975393,238.181164350498,209.222404839964,217.727392933426,188.874081370697,53.1605570324007,60.9602009918733,42.0938889497568,NA,212.458653965035,217.560149294985,273.428856013632,199.991943138621,220.646682396044,249.45596196092,233.378951929618,228.014043419104,NA,111.89770500779,155.051883201628,177.167471713754,137.389783382562,162.505895126083,145.56613346628,204.299549223313,154.418235204698,NA,186.050467900921,208.45076683364,133.395672169095,215.91273417151,173.536065577685,47.8411501772974,NA,138.452734985399,119.538867480559,128.09781403983,217.108151604694,112.847878171263,159.102478427932,146.933255103248,283.433837603099,NA,444.281001359664,42.0785332086067,175.427035501289,98.1325629946691,40.7536769314448,32.4433983790949,210.199415694745,99.1044176028168,271.966046853527,83.3793315804182,92.3513027900863,125.733097480774,NA,235.753080133004,41.4073129086054,102.690619533868,61.9703665020768,72.2626402827736,60.1902170070873,64.590086778668,155.821906311842,70.437079884167,146.515804818492,257.543290470803,352.69833217871,286.98617799504,192.675536969936,280.61931418158,24.7173180745914,82.0080097397598,74.0728326682673,209.867448953755,NA,134.389609144581,141.828624331724,173.900275619296,153.951364179876,159.901610083809,250.36479046436,35.6993982511824,74.64108955728,NA
"M00009","Citrate cycle (TCA cycle, Krebs cycle)",811.133057002699,786.105042894095,920.318756625745,1415.44562538761,1682.99547802022,1152.63896967218,1563.66277303918,1422.90289192861,1345.59163457437,1198.83432409506,1038.67978093529,1122.44966249034,1518.79747464145,1333.8133556648,828.504985321089,1238.06292950555,18760.3240017664,1162.50508870386,1281.2788150241,1071.17108668127,1030.73341732966,1111.02196998531,880.039835075771,1026.37779181617,1164.43584907761,3228.40510124528,2706.9318240139,1783.53085609557,1709.03494593754,2531.3147278238,1823.0039619456,1932.93938774919,1208.40911390128,1572.26055493476,1432.17708472681,1441.5439244881,1470.36306558171,1015.32516882092,2680.33522443167,1542.66604591448,1634.84439079844,1677.31821762781,1426.57141665322,1498.0082394066,1425.19216467568,1523.67707911897,1702.803962546,NA,1013.6978375019,1145.68809255478,1323.95303631681,1103.0951982366,1223.84836852737,919.097097111311,1252.02028223729,1359.92107540836,1387.42814137419,1369.27791342608,1552.10381540887,1124.30738698297,1523.88162134991,1311.40112003121,1707.82993865347,6076.81329065053,1554.18870426357,1323.35440964189,1284.92519430642,1483.43778666056,1060.3346619703,1365.6283839542,1313.1227224731,1794.27138250827,2665.98545029035,1941.99064792156,986.126815451482,1725.02976940106,1326.93139037429,1209.55098943721,1027.40070037954,1266.08458018471,850.192140745168,1603.65795321281,1103.4384460135,818.76420373688,1228.12380647701,2557.99051350288,7005.88704299967,494.9215860902,927.84067018415,746.20119224102,1631.63388746489,1423.65886436749,1439.20543500006,1621.28035966416,1480.99207193408,1962.54037087059,1719.2715854164,1911.61276676423,1685.8056207184,1593.52516818952,1726.71867950647,1277.20336490412,1686.91334952845,1620.26338941556,1632.22322038577,NA,1132.86942370567,1107.81461677877,1512.42313230252,1298.60900982364,1455.71380242795,1634.66555937336,836.953286494275,902.587848781639,2274.69754836135
"M00012","Glyoxylate cycle",232.131991606159,193.53096277608,227.752426815233,200.890434450907,272.577022313545,390.37454256674,536.87076327294,599.689838136756,204.177642583696,221.128157234435,165.641746111327,180.688708984012,428.187505896415,278.072735167399,112.74106517758,206.124857355603,1381.94528914428,230.094521619447,294.573440042304,215.388760947832,199.902361004216,163.591539481182,180.185948845562,198.121289530597,249.485609848823,413.971600434639,388.424627184287,430.912830270984,395.855740945467,1133.36761867985,397.796916246863,532.074010038195,263.753994277421,279.253296256781,246.803745884547,388.269846364005,335.416122979285,287.630852364381,NA,341.32603808179,471.920052887332,386.239493648156,323.492514624708,359.115878014031,334.277585774728,364.415566307023,292.843202426547,4391.31447337778,217.507726413244,251.077767044584,223.411614332959,202.201061986252,236.523951053649,260.616827323238,328.629910345802,301.161128482987,NA,176.318945200404,280.647317038321,223.150623734886,191.085188702525,282.832346654975,515.158364527472,1758.27866932246,288.074738731639,297.958923068959,276.855715849058,380.238915839052,245.772395849183,293.946403711752,262.667921306336,389.648203495287,958.32946160137,433.440880097036,352.703278330999,384.225333221363,310.225908433752,466.925703764895,400.328584263755,187.030892720632,306.166694756117,262.801493341373,363.07673524721,239.314059921064,311.442193416201,573.495409559223,1449.3363265139,83.557497218243,128.481116976977,102.851468436829,408.54937476647,355.200536557455,376.804382706341,425.136714573632,368.871460404144,139.990612195051,210.846840056191,219.219862380196,278.188012466296,194.126173502058,212.68483081228,419.440254294409,505.816971364446,533.373608254954,372.206093291513,1894.58952596124,144.830483972317,268.71057574919,313.643323936674,368.307859050282,239.517819017647,447.026238769771,338.983384532293,426.441361796,901.514978685668
"M00013","Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA",10.5453377710405,3.67122510940581,4.84847982722283,91.3307246704316,105.158559161807,25.709491193763,40.4337555385653,69.7853787314438,80.1721081765349,59.8428207540712,43.8295486237182,53.9550316151582,57.1582843156478,62.1130874391548,53.9190901152754,102.421438260959,NA,44.6228904227609,65.6320433356417,39.8863146995313,25.8793507827941,21.7004274986217,27.7332709336145,45.6021565013222,53.1270488609236,172.058134799214,147.432663052294,200.285669729809,168.306353330337,NA,119.518052486195,134.151784521059,91.989215555388,123.075101071485,107.587419454887,NA,NA,NA,NA,162.408603584401,213.295011288393,169.000323000554,148.965514055123,134.977222318844,127.48484379763,129.14181012783,96.3038873330999,NA,86.4651165777316,87.0575363898079,51.3547252224723,58.5194259078799,75.6387636893749,46.8962909239532,87.1005079857781,71.888684799571,NA,67.6017150484129,120.489253050316,103.835381543513,95.0274820826121,132.94592009148,69.5461573236147,NA,70.8814697807811,72.6537241537396,66.4861033933166,66.0468809517082,48.2450376407338,58.2180664411842,65.9928678207929,85.4451371077673,NA,141.297735181101,11.8159934456638,44.6719991339044,29.5381775850296,42.3353088996341,14.7503383451579,54.9305585342398,87.7008500253045,107.786564329162,53.9694560005042,61.8243152050164,71.4967653085392,NA,267.100263880036,15.2909442741357,37.0099711847997,37.4789949396273,38.2676544565286,33.8271874065635,36.3267920917621,143.300109025577,41.0087387822113,116.927383571169,71.2072338697385,101.298782422086,68.3224264351233,51.8371124100208,75.7673831836691,NA,NA,NA,NA,NA,51.009733188411,78.1494827326701,117.780061396948,138.909746399042,88.4869701842448,155.09145157943,7.80440105597043,25.3584191291701,NA
"M00014","Glucuronate pathway (uronate pathway)",17.0611811695563,11.6976627807508,14.2230880298665,196.43259733945,270.499020030444,207.179480107116,NA,NA,219.001043703611,220.467435579015,203.615491453574,211.380972914596,142.536982001576,152.849546538543,128.067903439082,187.37844159003,NA,131.35533811421,132.245360223023,119.7951447548,167.950711929927,129.78135242861,96.2397125414057,130.493976844879,119.476709008217,665.172124124436,412.231670162862,298.149993075971,254.563483234023,916.206616463006,162.89906747062,256.238705165976,242.545957567411,190.018470669014,211.441141286171,66.2389362467064,46.0626929881634,34.0011998768151,NA,279.474936232915,320.477114944815,272.072427323551,222.739373319689,259.045911852135,266.46660458751,240.358916700468,231.58218424657,NA,228.00846167013,158.793264793638,251.062381221258,243.152330025249,238.611911876096,112.855695573109,148.977995144667,197.022203796431,NA,177.788455083904,313.759194822658,108.838182334311,205.640793114552,219.552225047325,138.745922230763,NA,160.692900513502,125.215717191747,157.588257958889,187.35407561854,98.3742121851002,169.835894254639,138.458459105955,222.222513840862,NA,188.991344115168,35.4531898062498,91.2397838935,177.449614091111,32.5378930637449,27.9165230923618,208.42103759264,127.156207975197,219.259362049777,116.182966785759,119.673180373443,111.835188545595,443.122688593422,736.388869251852,64.9992442391133,292.37617686168,170.366725835183,96.7498559464837,89.1648386611149,101.312170446502,159.703820010604,120.700258793703,179.858224632329,329.544139693981,336.867515922354,344.681533451666,362.205271961172,354.946605649711,168.774195484893,28.1051776396917,28.8195060146172,NA,NA,89.8592356462228,106.364526188603,232.509504823804,212.996449711916,168.265856074007,195.702088100951,65.6213050227958,46.9093977213727,NA
"M00015","Proline biosynthesis, glutamate => proline",150.066278597992,152.717366151369,180.008430309929,343.262487222073,404.821918721117,235.909155922885,241.968468356031,252.204171369069,404.066888066513,392.526213497954,380.207903024272,390.195999232848,404.448248455187,314.073617267653,318.418486262565,384.225388684106,NA,310.946949170056,346.765650177087,281.172051862956,316.934111899412,378.186917325494,248.277627276884,316.252316435445,277.69058634766,963.34090419033,670.205949722977,467.989125788174,432.80499141289,675.512331773153,576.553268237904,389.860614124802,491.079523924945,412.740780569071,386.594632639745,341.550637206841,313.410995830708,236.111486212605,NA,500.176570361448,521.806032466045,555.814098620125,415.52955309032,435.054235352297,518.643044353746,453.973129621185,507.600692001217,NA,235.537915477475,277.337299605083,427.106074299548,329.824942325147,359.925336672177,240.423289146196,376.629169157367,327.689813519756,NA,379.413007752351,401.902552013874,238.4420574396,474.332369304793,461.412543481116,463.432102151383,1163.69204524924,379.750308889837,270.498356263484,306.085311737719,459.641555630628,241.561537415954,323.144137928156,327.716736245826,518.051386904566,530.534840476708,762.812532757037,194.60077967665,368.541471375806,277.207162119373,208.103755150076,202.63791684739,425.113005961622,274.932604906222,438.569819832895,265.34778963923,269.070504780379,344.109536902481,1029.16177953094,1646.27193436803,131.337322553465,370.41166031012,244.672894081623,429.269572836914,349.561734753322,404.133361551657,353.873896265501,454.034564363744,766.808000963421,665.608309004865,801.705855665652,488.49426980953,679.309721716397,646.586832290481,248.778140485403,328.096998787795,339.680358471822,747.779000091026,NA,483.690545530516,323.669639499616,467.31570584217,489.319520885022,517.521601952505,383.500748574959,446.204910369549,344.237561458093,NA
