SampleID,Site,Date,Type,Rep,Source,Group,Site_Type
CARI.20190703.EPILITHON.7,CARI,20190703,EPILITHON,7,benthic,1,CARI_EPILITHON
CARI.20190703.EPILITHON.8,CARI,20190703,EPILITHON,8,benthic,1,CARI_EPILITHON
CARI.SS.20190710,CARI,20190710,SS,1,surface,1,CARI_SS
COMO.20190806.EPILITHON.1,COMO,20190806,EPILITHON,1,benthic,1,COMO_EPILITHON
COMO.20190806.EPILITHON.2,COMO,20190806,EPILITHON,2,benthic,1,COMO_EPILITHON
COMO.20190806.EPILITHON.3,COMO,20190806,EPILITHON,3,benthic,1,COMO_EPILITHON
COMO.20190806.EPILITHON.4,COMO,20190806,EPILITHON,4,benthic,1,COMO_EPILITHON
COMO.20190806.EPILITHON.5,COMO,20190806,EPILITHON,5,benthic,1,COMO_EPILITHON
COMO.20190806.EPIPSAMMON.1,COMO,20190806,EPIPSAMMON,1,benthic,1,COMO_EPIPSAMMON
COMO.20190806.EPIPSAMMON.2,COMO,20190806,EPIPSAMMON,2,benthic,1,COMO_EPIPSAMMON
COMO.20190806.EPIPSAMMON.3,COMO,20190806,EPIPSAMMON,3,benthic,1,COMO_EPIPSAMMON
COMO.SS.20190716,COMO,20190716,SS,1,surface,1,COMO_SS
HOPB.20190715.EPILITHON.1,HOPB,20190715,EPILITHON,1,benthic,1,HOPB_EPILITHON
HOPB.20190715.EPILITHON.2,HOPB,20190715,EPILITHON,2,benthic,1,HOPB_EPILITHON
HOPB.20190715.EPILITHON.3,HOPB,20190715,EPILITHON,3,benthic,1,HOPB_EPILITHON
HOPB.20190715.EPILITHON.4,HOPB,20190715,EPILITHON,4,benthic,1,HOPB_EPILITHON
HOPB.20190715.EPILITHON.5,HOPB,20190715,EPILITHON,5,benthic,1,HOPB_EPILITHON
HOPB.20190715.EPIPSAMMON.2,HOPB,20190715,EPIPSAMMON,2,benthic,1,HOPB_EPIPSAMMON
HOPB.SS.20190717,HOPB,20190717,SS,1,surface,1,HOPB_SS
MAYF.20190805.EPIXYLON.1,MAYF,20190805,EPIXYLON,1,benthic,1,MAYF_EPIXYLON
MAYF.20190805.EPIXYLON.2,MAYF,20190805,EPIXYLON,2,benthic,1,MAYF_EPIXYLON
MAYF.20190805.EPIXYLON.3,MAYF,20190805,EPIXYLON,3,benthic,1,MAYF_EPIXYLON
MAYF.20190805.EPIXYLON.4,MAYF,20190805,EPIXYLON,4,benthic,1,MAYF_EPIXYLON
MAYF.20190805.EPIXYLON.5,MAYF,20190805,EPIXYLON,5,benthic,1,MAYF_EPIXYLON
OKSR.20190711.EPILITHON.1,OKSR,20190711,EPILITHON,1,benthic,1,OKSR_EPILITHON
OKSR.SS.20190820,OKSR,20190820,SS,1,surface,1,OKSR_SS
LECO.SS.20190812,LECO,20190812,SS,1,surface,2,LECO_SS
TECR.SS.20190717,TECR,20190717,SS,1,surface,2,TECR_SS
BIGC.20190709.EPILITHON.1,BIGC,20190709,EPILITHON,1,benthic,3,BIGC_EPILITHON
BIGC.20190709.EPILITHON.2,BIGC,20190709,EPILITHON,2,benthic,3,BIGC_EPILITHON
BIGC.20190709.EPILITHON.3,BIGC,20190709,EPILITHON,3,benthic,3,BIGC_EPILITHON
BIGC.20190709.EPIPSAMMON.1,BIGC,20190709,EPIPSAMMON,1,benthic,3,BIGC_EPIPSAMMON
BIGC.20190709.EPIPSAMMON.3,BIGC,20190709,EPIPSAMMON,3,benthic,3,BIGC_EPIPSAMMON
BLDE.20190805.EPILITHON.1,BLDE,20190805,EPILITHON,1,benthic,3,BLDE_EPILITHON
BLDE.20190805.EPILITHON.2,BLDE,20190805,EPILITHON,2,benthic,3,BLDE_EPILITHON
BLDE.20190805.EPILITHON.3,BLDE,20190805,EPILITHON,3,benthic,3,BLDE_EPILITHON
BLDE.20190805.EPILITHON.4,BLDE,20190805,EPILITHON,4,benthic,3,BLDE_EPILITHON
BLDE.20190805.EPILITHON.5,BLDE,20190805,EPILITHON,5,benthic,3,BLDE_EPILITHON
BLDE.20190805.EPILITHON.6,BLDE,20190805,EPILITHON,6,benthic,3,BLDE_EPILITHON
BLDE.20190805.EPILITHON.7,BLDE,20190805,EPILITHON,7,benthic,3,BLDE_EPILITHON
BLDE.20190805.EPILITHON.8,BLDE,20190805,EPILITHON,8,benthic,3,BLDE_EPILITHON
BLDE.SS.20190702,BLDE,20190702,SS,1,surface,3,BLDE_SS
CUPE.20190625.EPILITHON.1,CUPE,20190625,EPILITHON,1,benthic,3,CUPE_EPILITHON
CUPE.20190625.EPILITHON.2,CUPE,20190625,EPILITHON,2,benthic,3,CUPE_EPILITHON
CUPE.20190625.EPILITHON.3,CUPE,20190625,EPILITHON,3,benthic,3,CUPE_EPILITHON
CUPE.20190625.EPILITHON.4,CUPE,20190625,EPILITHON,4,benthic,3,CUPE_EPILITHON
CUPE.20190625.EPILITHON.5,CUPE,20190625,EPILITHON,5,benthic,3,CUPE_EPILITHON
CUPE.20190625.EPILITHON.6,CUPE,20190625,EPILITHON,6,benthic,3,CUPE_EPILITHON
CUPE.20190625.EPILITHON.7,CUPE,20190625,EPILITHON,7,benthic,3,CUPE_EPILITHON
CUPE.20190625.EPILITHON.8,CUPE,20190625,EPILITHON,8,benthic,3,CUPE_EPILITHON
CUPE.SS.20190709,CUPE,20190709,SS,1,surface,3,CUPE_SS
